node_id,prefecture,municipality,inflow,outflow,net_flow,latitude,longitude
滋賀県近江八幡市,滋賀県,近江八幡市,19,12,7,35.0045,135.8686
広島県,広島県,,7,0,7,35.0,135.0
福井県大飯郡高浜町,福井県,大飯郡高浜町,19,12,7,35.0,135.0
宮城県,宮城県,,7,0,7,35.0,135.0
静岡県,静岡県,,7,0,7,35.0,135.0
東京都日野市,東京都,日野市,7,0,7,35.6895,139.6917
東京都武蔵野市,東京都,武蔵野市,7,0,7,35.6895,139.6917
埼玉県入間市,埼玉県,入間市,7,0,7,35.8617,139.6455
愛知県名古屋市北区,愛知県,名古屋市北区,7,0,7,35.0,135.0
福岡県福岡市西区,福岡県,福岡市西区,7,1,6,35.0,135.0
埼玉県白岡市,埼玉県,白岡市,6,0,6,35.8617,139.6455
広島県広島市佐伯区,広島県,広島市佐伯区,6,0,6,35.0,135.0
大阪府柏原市,大阪府,柏原市,12,6,6,34.6937,135.5023
東京都青梅市,東京都,青梅市,6,0,6,35.6895,139.6917
広島県福山市,広島県,福山市,8,2,6,35.0,135.0
東京都西多摩郡瑞穂町,東京都,西多摩郡瑞穂町,6,0,6,35.6895,139.6917
東京都新宿区,東京都,新宿区,21,15,6,35.6895,139.6917
奈良県磯城郡三宅町,奈良県,磯城郡三宅町,6,0,6,34.6851,135.805
岡山県,岡山県,,6,0,6,35.0,135.0
神奈川県座間市,神奈川県,座間市,6,0,6,35.4478,139.6425
千葉県我孫子市,千葉県,我孫子市,6,0,6,35.6074,140.1233
茨城県,茨城県,,6,0,6,36.3418,140.4467
沖縄県,沖縄県,,6,0,6,35.0,135.0
沖縄県那覇市,沖縄県,那覇市,6,0,6,35.0,135.0
埼玉県深谷市,埼玉県,深谷市,6,0,6,35.8617,139.6455
千葉県野田市,千葉県,野田市,6,0,6,35.6074,140.1233
埼玉県さいたま市中央区,埼玉県,さいたま市中央区,6,0,6,35.8617,139.6455
愛知県あま市,愛知県,あま市,6,0,6,35.0,135.0
