prefecture,municipality,location,demand_count,supply_count,demand_supply_ratio,gap,latitude,longitude
埼玉県,比企郡嵐山町,埼玉県比企郡嵐山町,1.0,0.0,1.0,1.0,35.86,139.65
兵庫県,加西市,兵庫県加西市,2.0,1.0,1.0,1.0,34.69,135.18
兵庫県,南あわじ市,兵庫県南あわじ市,1.0,0.0,1.0,1.0,34.69,135.18
兵庫県,宍粟市,兵庫県宍粟市,1.0,0.0,1.0,1.0,34.69,135.18
岩手県,久慈市,岩手県久慈市,1.0,0.0,1.0,1.0,39.7,141.15
岩手県,北上市,岩手県北上市,1.0,0.0,1.0,1.0,39.7,141.15
岩手県,花巻市,岩手県花巻市,1.0,0.0,1.0,1.0,39.7,141.15
広島県,三原市,広島県三原市,1.0,0.0,1.0,1.0,34.4,132.46
広島県,三次市,広島県三次市,1.0,0.0,1.0,1.0,34.4,132.46
広島県,大竹市,広島県大竹市,1.0,0.0,1.0,1.0,34.4,132.46
広島県,安芸郡坂町,広島県安芸郡坂町,1.0,0.0,1.0,1.0,34.4,132.46
広島県,安芸高田市,広島県安芸高田市,1.0,0.0,1.0,1.0,34.4,132.46
岡山県,岡山市中区,岡山県岡山市中区,1.0,0.0,1.0,1.0,34.66,133.92
岡山県,岡山市東区,岡山県岡山市東区,1.0,0.0,1.0,1.0,34.66,133.92
岡山県,浅口市,岡山県浅口市,1.0,0.0,1.0,1.0,34.66,133.92
岡山県,浅口郡里庄町,岡山県浅口郡里庄町,1.0,0.0,1.0,1.0,34.66,133.92
岡山県,笠岡市,岡山県笠岡市,1.0,0.0,1.0,1.0,34.66,133.92
岡山県,高梁市,岡山県高梁市,1.0,0.0,1.0,1.0,34.66,133.92
岩手県,一関市,岩手県一関市,2.0,1.0,1.0,1.0,39.7,141.15
佐賀県,神埼市,佐賀県神埼市,1.0,0.0,1.0,1.0,33.25,130.3
佐賀県,神埼郡吉野ヶ里町,佐賀県神埼郡吉野ヶ里町,1.0,0.0,1.0,1.0,33.25,130.3
佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町,1.0,0.0,1.0,1.0,33.25,130.3
佐賀県,鹿島市,佐賀県鹿島市,1.0,0.0,1.0,1.0,33.25,130.3
兵庫県,たつの市,兵庫県たつの市,2.0,1.0,1.0,1.0,34.69,135.18
岡山県,井原市,岡山県井原市,1.0,0.0,1.0,1.0,34.66,133.92
岡山県,備前市,岡山県備前市,1.0,0.0,1.0,1.0,34.66,133.92
岡山県,小田郡矢掛町,岡山県小田郡矢掛町,1.0,0.0,1.0,1.0,34.66,133.92
福井県,福井市,福井県福井市,2.0,1.0,1.0,1.0,36.07,136.22
福井県,鯖江市,福井県鯖江市,1.0,0.0,1.0,1.0,36.07,136.22
福岡県,うきは市,福岡県うきは市,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,北九州市小倉南区,福岡県北九州市小倉南区,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,北九州市若松区,福岡県北九州市若松区,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,大牟田市,福岡県大牟田市,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,朝倉郡筑前町,福岡県朝倉郡筑前町,1.0,0.0,1.0,1.0,33.61,130.42
岐阜県,下呂市,岐阜県下呂市,1.0,0.0,1.0,1.0,35.39,136.72
岐阜県,加茂郡坂祝町,岐阜県加茂郡坂祝町,1.0,0.0,1.0,1.0,35.39,136.72
岐阜県,加茂郡白川町,岐阜県加茂郡白川町,1.0,0.0,1.0,1.0,35.39,136.72
岐阜県,可児郡御嵩町,岐阜県可児郡御嵩町,1.0,0.0,1.0,1.0,35.39,136.72
岐阜県,揖斐郡池田町,岐阜県揖斐郡池田町,1.0,0.0,1.0,1.0,35.39,136.72
岐阜県,本巣市,岐阜県本巣市,1.0,0.0,1.0,1.0,35.39,136.72
岐阜県,美濃市,岐阜県美濃市,1.0,0.0,1.0,1.0,35.39,136.72
岐阜県,羽島郡笠松町,岐阜県羽島郡笠松町,1.0,0.0,1.0,1.0,35.39,136.72
山梨県,北杜市,山梨県北杜市,1.0,0.0,1.0,1.0,35.66,138.57
山梨県,南アルプス市,山梨県南アルプス市,1.0,0.0,1.0,1.0,35.66,138.57
山梨県,南巨摩郡身延町,山梨県南巨摩郡身延町,1.0,0.0,1.0,1.0,35.66,138.57
山梨県,南都留郡富士河口湖町,山梨県南都留郡富士河口湖町,1.0,0.0,1.0,1.0,35.66,138.57
山梨県,山梨市,山梨県山梨市,1.0,0.0,1.0,1.0,35.66,138.57
山梨県,甲州市,山梨県甲州市,1.0,0.0,1.0,1.0,35.66,138.57
山梨県,笛吹市,山梨県笛吹市,2.0,1.0,1.0,1.0,35.66,138.57
山梨県,都留市,山梨県都留市,1.0,0.0,1.0,1.0,35.66,138.57
神奈川県,足柄下郡湯河原町,神奈川県足柄下郡湯河原町,1.0,0.0,1.0,1.0,35.45,139.64
神奈川県,高座郡寒川町,神奈川県高座郡寒川町,1.0,0.0,1.0,1.0,35.45,139.64
福井県,三方郡美浜町,福井県三方郡美浜町,1.0,0.0,1.0,1.0,36.07,136.22
福井県,勝山市,福井県勝山市,1.0,0.0,1.0,1.0,36.07,136.22
群馬県,富岡市,群馬県富岡市,1.0,0.0,1.0,1.0,36.39,139.06
富山県,南砺市,富山県南砺市,1.0,0.0,1.0,1.0,36.7,137.21
富山県,富山市,富山県富山市,1.0,0.0,1.0,1.0,36.7,137.21
富山県,射水市,富山県射水市,1.0,0.0,1.0,1.0,36.7,137.21
富山県,砺波市,富山県砺波市,1.0,0.0,1.0,1.0,36.7,137.21
富山県,高岡市,富山県高岡市,1.0,0.0,1.0,1.0,36.7,137.21
富山県,黒部市,富山県黒部市,1.0,0.0,1.0,1.0,36.7,137.21
秋田県,能代市,秋田県能代市,1.0,0.0,1.0,1.0,39.72,140.1
秋田県,雄勝郡羽後町,秋田県雄勝郡羽後町,1.0,0.0,1.0,1.0,39.72,140.1
群馬県,みどり市,群馬県みどり市,1.0,0.0,1.0,1.0,36.39,139.06
群馬県,北群馬郡吉岡町,群馬県北群馬郡吉岡町,1.0,0.0,1.0,1.0,36.39,139.06
福岡県,飯塚市,福岡県飯塚市,1.0,0.0,1.0,1.0,33.61,130.42
福島県,会津若松市,福島県会津若松市,1.0,0.0,1.0,1.0,37.75,140.47
福島県,西白河郡矢吹町,福島県西白河郡矢吹町,1.0,0.0,1.0,1.0,37.75,140.47
秋田県,仙北郡美郷町,秋田県仙北郡美郷町,1.0,0.0,1.0,1.0,39.72,140.1
秋田県,大館市,秋田県大館市,1.0,0.0,1.0,1.0,39.72,140.1
福岡県,筑後市,福岡県筑後市,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,筑紫郡那珂川町,福岡県筑紫郡那珂川町,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,築上郡築上町,福岡県築上郡築上町,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,糟屋郡新宮町,福岡県糟屋郡新宮町,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,糸島市,福岡県糸島市,3.0,2.0,1.0,1.0,33.61,130.42
福岡県,豊前市,福岡県豊前市,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,遠賀郡岡垣町,福岡県遠賀郡岡垣町,1.0,0.0,1.0,1.0,33.61,130.42
福岡県,遠賀郡遠賀町,福岡県遠賀郡遠賀町,1.0,0.0,1.0,1.0,33.61,130.42
宮城県,塩竈市,宮城県塩竈市,1.0,0.0,1.0,1.0,38.27,140.87
宮城県,多賀城市,宮城県多賀城市,1.0,0.0,1.0,1.0,38.27,140.87
宮城県,宮城郡七ヶ浜町,宮城県宮城郡七ヶ浜町,1.0,0.0,1.0,1.0,38.27,140.87
宮城県,宮城郡利府町,宮城県宮城郡利府町,1.0,0.0,1.0,1.0,38.27,140.87
宮城県,石巻市,宮城県石巻市,1.0,0.0,1.0,1.0,38.27,140.87
宮崎県,児湯郡木城町,宮崎県児湯郡木城町,1.0,0.0,1.0,1.0,31.91,131.42
京都,府与謝郡伊根町,京都府与謝郡伊根町,3.0,2.0,1.0,1.0,35.02,135.75
北海道,釧路市,北海道釧路市,1.0,0.0,1.0,1.0,43.06,141.35
山形県,西村山郡大江町,山形県西村山郡大江町,1.0,0.0,1.0,1.0,38.25,140.34
静岡県,熱海市,静岡県熱海市,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,田方郡函南町,静岡県田方郡函南町,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,藤枝市,静岡県藤枝市,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,袋井市,静岡県袋井市,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,賀茂郡南伊豆町,静岡県賀茂郡南伊豆町,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,賀茂郡東伊豆町,静岡県賀茂郡東伊豆町,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,賀茂郡西伊豆町,静岡県賀茂郡西伊豆町,1.0,0.0,1.0,1.0,34.98,138.38
香川県,仲多度郡多度津町,香川県仲多度郡多度津町,1.0,0.0,1.0,1.0,34.34,134.04
新潟県,南魚沼市,新潟県南魚沼市,1.0,0.0,1.0,1.0,37.9,139.02
鹿児島県,奄美市,鹿児島県奄美市,1.0,0.0,1.0,1.0,31.56,130.56
大阪府,南河内郡河南町,大阪府南河内郡河南町,2.0,1.0,1.0,1.0,34.69,135.5
大阪府,阪南市,大阪府阪南市,1.0,0.0,1.0,1.0,34.69,135.5
茨城県,龍ケ崎市,茨城県龍ケ崎市,1.0,0.0,1.0,1.0,36.34,140.45
長崎県,南島原市,長崎県南島原市,1.0,0.0,1.0,1.0,32.75,129.88
高知県,香南市,高知県香南市,1.0,0.0,1.0,1.0,33.56,133.53
高知県,香美市,高知県香美市,1.0,0.0,1.0,1.0,33.56,133.53
鹿児島県,いちき串木野市,鹿児島県いちき串木野市,1.0,0.0,1.0,1.0,31.56,130.56
鹿児島県,出水市,鹿児島県出水市,1.0,0.0,1.0,1.0,31.56,130.56
鹿児島県,南九州市,鹿児島県南九州市,1.0,0.0,1.0,1.0,31.56,130.56
長崎県,島原市,長崎県島原市,1.0,0.0,1.0,1.0,32.75,129.88
長崎県,松浦市,長崎県松浦市,1.0,0.0,1.0,1.0,32.75,129.88
新潟県,妙高市,新潟県妙高市,1.0,0.0,1.0,1.0,37.9,139.02
長野県,北佐久郡軽井沢町,長野県北佐久郡軽井沢町,1.0,0.0,1.0,1.0,36.65,138.18
長野県,千曲市,長野県千曲市,1.0,0.0,1.0,1.0,36.65,138.18
長野県,塩尻市,長野県塩尻市,1.0,0.0,1.0,1.0,36.65,138.18
北海道,苫小牧市,北海道苫小牧市,1.0,0.0,1.0,1.0,43.06,141.35
北海道,虻田郡倶知安町,北海道虻田郡倶知安町,1.0,0.0,1.0,1.0,43.06,141.35
北海道,野付郡別海町,北海道野付郡別海町,1.0,0.0,1.0,1.0,43.06,141.35
三重県,度会郡玉城町,三重県度会郡玉城町,1.0,0.0,1.0,1.0,34.73,136.51
宮崎県,北諸県郡三股町,宮崎県北諸県郡三股町,1.0,0.0,1.0,1.0,31.91,131.42
